time,open,high,low,close,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Long1,Long2,Long3,Long4,Short
2017-04-12,1218.99,1224.57,1208,1212.17,1039.5009009009011,758.6329142857145,1213.8126628571433,1517.265828571429,2275.8987428571436,3793.1645714285723,6069.063314285716,9862.227885714288,15931.291200000005,541.8806530612246,474.14557142857154,379.31645714285725,291.7818901098902,0,0,0,0,0
2017-04-13,1212.16,1219.45,1141,1172.91,1041.8334234234237,760.7008285714287,1217.121325714286,1521.4016571428574,2282.102485714286,3803.5041428571435,6085.60662857143,9889.110771428574,15974.717400000003,543.3577346938777,475.43801785714294,380.35041428571435,292.5772417582418,0,0,0,0,0
2017-04-14,1172.56,1193,1142,1170.34,1044.3354954954957,762.7402857142858,1220.3844571428574,1525.4805714285717,2288.2208571428573,3813.7014285714295,6101.922285714287,9915.623714285715,16017.546000000002,544.8144897959185,476.7126785714286,381.3701428571429,293.3616483516484,0,0,0,0,0
2017-04-15,1169.53,1192.5,1165,1173.45,1046.8830630630634,764.811942857143,1223.6991085714287,1529.623885714286,2294.435828571429,3824.059714285715,6118.495542857144,9942.555257142858,16061.050800000003,546.2942448979593,478.0074642857143,382.4059714285715,294.1584395604396,0,0,0,0,0
2017-04-16,1171,1179.3,1150,1162.31,1049.2723423423427,766.838542857143,1226.9416685714289,1533.677085714286,2300.5156285714293,3834.192714285715,6134.708342857144,9968.901057142859,16103.609400000003,547.7418163265307,479.27408928571435,383.4192714285715,294.93790109890114,0,0,0,0,0
2017-04-17,1162.31,1192.5,1161,1176.54,1051.4903603603607,768.9313428571431,1230.2901485714292,1537.8626857142863,2306.7940285714294,3844.6567142857157,6151.450742857145,9996.107457142862,16147.558200000007,549.2366734693879,480.58208928571446,384.46567142857157,295.7428241758243,0,0,0,0,0
2017-04-18,1176.59,1210,1175.95,1202.58,1053.527477477478,771.0798285714287,1233.727725714286,1542.1596571428574,2313.2394857142863,3855.3991428571435,6168.63862857143,10024.037771428573,16192.676400000004,550.7713061224491,481.92489285714294,385.53991428571436,296.5691648351649,0,0,0,0,0
2017-04-19,1202.59,1209.99,1190,1203.98,1055.6391891891897,773.2436857142858,1237.1898971428573,1546.4873714285716,2319.7310571428575,3866.218428571429,6185.949485714286,10052.167914285716,16238.117400000001,552.3169183673471,483.2773035714286,386.6218428571429,297.4014175824176,0,0,0,0,0
2017-04-20,1203.98,1243.88,1201.66,1234.19,1058.113513513514,775.4885142857144,1240.781622857143,1550.9770285714287,2326.465542857143,3877.4425714285717,6203.908114285715,10081.350685714287,16285.258800000001,553.9203673469389,484.68032142857146,387.7442571428572,298.2648131868132,0,0,0,0,0
2017-04-21,1234.93,1252.32,1231.65,1243.61,1060.6118018018021,777.731742857143,1244.3707885714289,1555.463485714286,2333.1952285714287,3888.658714285715,6221.853942857144,10110.51265714286,16332.366600000003,555.5226734693879,486.08233928571434,388.8658714285715,299.12759340659346,0,0,0,0,0
2017-04-22,1243.6,1247.15,1199,1233.2,1062.7329729729734,779.9464000000002,1247.9142400000003,1559.8928000000003,2339.8392000000003,3899.732000000001,6239.571200000001,10139.303200000002,16378.874400000002,557.1045714285716,487.46650000000005,389.9732000000001,299.9793846153847,0,0,0,0,0
2017-04-23,1231.85,1248.99,1223.42,1241.99,1064.8000900900904,782.1857714285715,1251.4972342857145,1564.371542857143,2346.5573142857143,3910.9288571428574,6257.486171428572,10168.41502857143,16425.9012,558.7041224489797,488.8661071428571,391.0928857142857,300.84068131868133,0,0,0,0,0
2017-04-24,1242,1254,1234,1253.58,1066.7671171171176,784.4508000000001,1255.1212800000003,1568.9016000000001,2353.3524,3922.2540000000004,6275.606400000001,10197.860400000001,16473.466800000002,560.3220000000001,490.28175000000005,392.22540000000004,301.7118461538462,0,0,0,0,0
2017-04-25,1253.57,1280,1251.07,1269,1068.1552252252256,786.7861714285715,1258.8578742857144,1573.572342857143,2360.3585142857146,3933.9308571428573,6294.289371428572,10228.22022857143,16522.5096,561.9901224489797,491.74135714285717,393.39308571428575,302.610065934066,0,0,0,0,0
2017-04-26,1271.4,1330,1265,1287.99,1070.7070270270274,789.1721142857144,1262.6753828571432,1578.3442285714289,2367.516342857143,3945.8605714285723,6313.376914285715,10259.237485714288,16572.614400000002,563.6943673469389,493.2325714285715,394.5860571428572,303.5277362637363,0,0,0,0,0
2017-04-27,1287.92,1342.02,1285,1331.53,1074.64972972973,791.6759142857145,1266.6814628571433,1583.351828571429,2375.0277428571435,3958.3795714285725,6333.407314285716,10291.78688571429,16625.194200000005,565.4827959183675,494.79744642857156,395.83795714285725,304.4907362637363,0,0,0,0,0
2017-04-28,1331,1347.02,1299,1330.7,1078.4740540540545,794.1753142857144,1270.6805028571432,1588.3506285714288,2382.5259428571435,3970.876571428572,6353.402514285715,10324.279085714288,16677.681600000004,567.2680816326532,496.3595714285715,397.0876571428572,305.452043956044,0,0,0,0,0
2017-04-29,1333.93,1342.8,1316,1333,1082.2871171171175,796.6822571428572,1274.6916114285716,1593.3645142857144,2390.0467714285714,3983.4112857142864,6373.458057142858,10356.869342857144,16730.327400000002,569.0587551020409,497.92641071428574,398.3411285714286,306.41625274725277,0,0,0,0,0
2017-04-30,1336.77,1356,1315.68,1350.21,1086.3770270270275,799.2326857142859,1278.7722971428575,1598.4653714285719,2397.6980571428576,3996.16342857143,6393.8614857142875,10390.024914285717,16783.886400000003,570.8804897959186,499.5204285714287,399.61634285714297,307.39718681318686,0,0,0,0,0
2017-05-01,1348.88,1425,1341.22,1390.86,1090.7536936936942,801.9094285714287,1283.0550857142862,1603.8188571428575,2405.7282857142864,4009.5471428571436,6415.27542857143,10424.822571428575,16840.098000000005,572.792448979592,501.19339285714295,400.9547142857144,308.42670329670335,0,0,0,0,0
2017-05-02,1390.86,1481.73,1388,1447.75,1096.7818918918924,804.7513428571431,1287.602148571429,1609.5026857142861,2414.2540285714294,4023.756714285715,6438.010742857145,10461.76745714286,16899.778200000004,574.8223877551022,502.9695892857144,402.37567142857154,309.5197472527473,0,0,0,0,0
2017-05-03,1447.75,1516.04,1431.02,1503.22,1103.0499099099104,807.7522000000002,1292.4035200000005,1615.5044000000005,2423.2566000000006,4038.7610000000013,6462.017600000002,10500.778600000003,16962.796200000004,576.9658571428573,504.8451250000001,403.8761000000001,310.6739230769232,0,0,0,0,0
2017-05-04,1503.25,1623.01,1444.94,1537.23,1109.4586486486492,810.8977142857145,1297.4363428571432,1621.795428571429,2432.6931428571434,4054.488571428573,6487.181714285716,10541.670285714288,17028.852000000006,579.2126530612247,506.81107142857155,405.44885714285726,311.88373626373635,0,0,0,0,0
2017-05-05,1537.36,1609,1495,1514.9,1115.7345945945951,813.9610857142859,1302.3377371428576,1627.9221714285718,2441.8832571428575,4069.8054285714297,6511.688685714287,10581.494114285717,17093.182800000002,581.4007755102042,508.72567857142866,406.98054285714295,313.0619560439561,0,0,0,0,0
2017-05-06,1515.39,1578.97,1505,1558.02,1122.3666666666672,817.1459714285717,1307.4335542857148,1634.2919428571433,2451.437914285715,4085.7298571428582,6537.167771428573,10622.897628571433,17160.065400000007,583.6756938775512,510.7162321428573,408.57298571428584,314.2869120879122,0,0,0,0,0
2017-05-07,1554.04,1565,1525,1554.01,1128.8729729729735,820.3322857142858,1312.5316571428575,1640.6645714285717,2460.9968571428576,4101.6614285714295,6562.658285714287,10664.319714285715,17226.978000000003,585.9516326530613,512.7076785714286,410.1661428571429,315.51241758241764,0,0,0,0,0
2017-05-08,1554.38,1653.97,1554.38,1649.54,1135.5716216216222,823.7795714285717,1318.0473142857147,1647.5591428571433,2471.338714285715,4118.897857142858,6590.236571428573,10709.134428571431,17299.371000000006,588.4139795918369,514.8622321428572,411.88978571428584,316.8382967032968,0,0,0,0,0
2017-05-09,1649.55,1760.4,1616.05,1720.28,1143.0723423423428,827.4261714285717,1323.8818742857147,1654.8523428571434,2482.278514285715,4137.130857142858,6619.409371428574,10756.540228571432,17375.949600000007,591.0186938775513,517.1413571428573,413.71308571428585,318.2408351648353,0,0,0,0,0
2017-05-10,1720.26,1794.21,1682,1772.58,1150.9243243243247,831.2086857142859,1329.9338971428576,1662.4173714285719,2493.626057142858,4156.04342857143,6649.6694857142875,10805.712914285717,17455.382400000006,593.7204897959185,519.5054285714286,415.60434285714297,319.6956483516484,0,0,0,0,0
2017-05-11,1774.52,1892,1745.01,1828.45,1159.326576576577,835.1412000000003,1336.2259200000005,1670.2824000000005,2505.423600000001,4175.706000000001,6681.129600000002,10856.835600000004,17537.965200000006,596.5294285714288,521.9632500000001,417.5706000000001,321.20815384615395,0,0,0,0,0
2017-05-12,1830.85,1832,1650,1691.51,1166.2592792792796,838.6253714285716,1341.8005942857146,1677.2507428571432,2515.8761142857147,4193.126857142858,6709.002971428573,10902.129828571431,17611.132800000003,599.0181224489797,524.1408571428573,419.3126857142858,322.5482197802198,0,0,0,0,0
2017-05-13,1690.33,1785.82,1601.46,1776.89,1173.9451351351356,842.2181714285717,1347.5490742857148,1684.4363428571435,2526.6545142857153,4211.090857142859,6737.745371428574,10948.836228571432,17686.581600000005,601.5844081632656,526.3863571428573,421.10908571428587,323.930065934066,0,0,0,0,0
2017-05-14,1776.8,1815,1753,1784,1181.7872972972978,845.8357714285717,1353.3372342857147,1691.6715428571433,2537.507314285715,4229.178857142859,6766.686171428573,10995.865028571432,17762.551200000005,604.1684081632656,528.6473571428572,422.91788571428583,325.3214505494506,0,0,0,0,0
2017-05-15,1782.3,1784,1682.56,1705.48,1189.1747747747752,849.2010285714289,1358.7216457142863,1698.4020571428578,2547.603085714287,4246.005142857144,6793.608228571431,11039.613371428575,17833.221600000008,606.5721632653064,530.750642857143,424.60051428571444,326.61578021978033,0,0,0,0,0
2017-05-16,1706.07,1750,1641.22,1700.38,1196.444594594595,852.5397142857145,1364.0635428571431,1705.079428571429,2557.6191428571433,4262.698571428572,6820.317714285716,11083.016285714288,17903.334000000003,608.9569387755104,532.8373214285715,426.26985714285723,327.8998901098902,0,0,0,0,0
2017-05-17,1700.01,1840.42,1670.01,1782.99,1204.2658558558562,856.0998285714289,1369.7597257142863,1712.1996571428579,2568.2994857142867,4280.499142857145,6848.798628571431,11129.297771428575,17978.096400000006,611.4998775510207,535.0623928571431,428.04991428571446,329.269164835165,0,0,0,0,0
2017-05-18,1779,1881.8,1766.33,1878.99,1212.9232432432436,859.9312285714288,1375.8899657142863,1719.8624571428577,2579.7936857142868,4299.656142857144,6879.449828571431,11179.105971428575,18058.555800000006,614.2365918367349,537.457017857143,429.9656142857144,330.7427802197803,0,0,0,0,0
